title,monitor,cpu,memory,drive,old_price,new_price,discount,images
Ноутбук Lenovo IdeaPad Slim 5 16IRL8 (82XF004MRA) Cloud Grey,"16"" IPS WUXGA",Intel Core i7-13620H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук ASUS TUF Gaming F15 FX507ZC4-HN083 (90NR0GW1-M006E0) Mecha Gray,"15.6"" IPS Full HD 144 Гц",Intel Core i5-12500H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Acer Aspire 5 A515-57-59VX (NX.KN4EU.00C) Steel Gray,Intel Core i5-12450H,RAM 16 ГБ,SSD 512 ГБ,Підсвітка клавіатури,,,0,[]
"Ноутбук Apple MacBook Air 13"" M1 8",256GB 2020 (MGN63) Space Gray,,,,,,0,[]
Ноутбук HP Laptop 15s-fq5000ua (7X8E4EA) Spruce Blue,Intel Core i3-1215U,RAM 16 ГБ,SSD 512 ГБ,,,,0,[]
Ноутбук Lenovo IdeaPad Slim 5 16IAH8 (83BG001ARA) Cloud Grey,"16"" IPS WUXGA",Intel Core i5-12450H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Acer Aspire 7 A715-76G-560W (NH.QMMEU.002) Charcoal Black,"15.6"" IPS Full HD",Intel Core i5-12450H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук ASUS TUF Gaming A15 FA507NVR-LP086 (90NR0JK8-M00550) Jaeger Gray,"15.6"" IPS Full HD 144 Гц",AMD Ryzen 7 7435HS,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук HP Victus Gaming Laptop 15-fa0022ua (A2BK1EA) Performance Blue,"15.6"" IPS Full HD 144 Гц",Intel Core i5-12450H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук ASUS TUF Gaming F17 FX707ZC4-HX028 (90NR0GX2-M003V0) Jaeger Gray,"17.3"" IPS Full HD 144 Гц",Intel Core i5-12500H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Lenovo IdeaPad Slim 3 15AMN8 (82XQ00L1RA) Arctic Grey,"15.6"" IPS Full HD",AMD Ryzen 5 7520U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук HP Pavilion 15-eh3015ua (949X0EA) Fog Blue,AMD Ryzen 7 7730U,RAM 16 ГБ,SSD 512 ГБ,,,,0,[]
Ноутбук ASUS TUF Gaming F17 FX707VV-HX142 (90NR0CH5-M00720) Mecha Gray,"17.3"" IPS Full HD 144 Гц",Intel Core i7-13620H,RAM 16 ГБ,SSD 1 ТБ,,,0,[]
Ноутбук Acer Aspire 3 A314-23P-R8KS (NX.KDDEU.00A) Pure Silver,"14” IPS Full HD, матовий",AMD Ryzen 5 7520U,RAM 16 ГБ,SSD 512 ГБ+ Миша Acer OMR010 Wireless Black у подарунок!,,,0,[]
"Ноутбук Apple MacBook Air 13.6"" M2 16",256GB 2024 (MC7X4UA,A) Midnight,,,,,0,[]
Ноутбук Lenovo IdeaPad 1 15AMN7 (82VG00RHRA) Cloud Grey,"15.6"" IPS",AMD Ryzen 3 7320U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук ASUS VivoBook 16 X1605ZA-MB439 (90NB0ZA2-M00NU0) Transparent Silver,"16"" IPS WUXGA+",Intel Core i5-1235U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук HP Laptop 15s-fq5032ua (8F322EA) Spruce Blue,Intel Core i5-1235U,RAM 16 ГБ,SSD 512 ГБ,,,,0,[]
Ноутбук Lenovo LOQ 15IAX9 (83GS00BHRA) Luna Grey,"15.6"" IPS Full HD 144 Гц",Intel Core i5-12450HX,RAM 24 ГБ,SSD 512 ГБ,,,0,[]
"Ноутбук Apple MacBook Air 13.6"" M4 16",256GB 2025 (MW123UA,A) Midnight,,,,,0,[]
Ноутбук HP Laptop 15-fd0121ua (B22C8EA) Natural Silver,"15.6"" IPS Full HD",Intel Core i7-1255U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук MSI Thin 15 B12V (B12UC-1884XUA) Cosmos Gray,"15.6"" IPS Full HD 144 Гц",Intel Core i5-12450H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук ASUS Vivobook 15 X1504ZA-BQ1411 (90NB1021-M02210) Quiet Blue,"15.6"" IPS Full HD",Intel Core i3-1215U,RAM 12 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук HP Laptop 15s-eq2076ua (B22CDEA) Natural Silver,15.6” IPS Full HD,AMD Ryzen 5 5500U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Lenovo LOQ 15IAX9 (83GS00EURA) Luna Grey,"15.6"" IPS Full HD 144 Гц",Intel Core i5-12450HX,RAM 16 ГБ,SSD 1 ТБ,,,0,[]
Ноутбук Acer Aspire 3 A315-59-37UL (NX.K6TEU.01Q) Pure Silver,"15.6""",Intel Core i3-1215U,RAM 12 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук ASUS VivoBook 17X M3704YA-AU128 (90NB1192-M005N0) Indie Black,"17.3"" IPS (1920x1080) Full HD",AMD Ryzen 5 7430U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук ASUS VivoBook 17X M3704YA-AU129 (90NB1191-M005P0) Cool Silver,"17.3"" IPS Full HD",AMD Ryzen 5 7430U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук HP Laptop 17-cp2016ua (A2BK9EA) Natural Silver,,,,,,,0,[]
Ноутбук Acer Nitro V 15 ANV15-41-R9PG (NH.QSHEU.00B) Obsidian Black,"15.6"" IPS Full HD 144 Гц",AMD Ryzen 5 7535HS,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Lenovo IdeaPad 3 15IAU7 (82RK01A8RA) Arctic Grey,"15.6"" IPS",Intel Core i5-1235U,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук ASUS TUF Gaming F16 (2024) FX607JV-N3109 (90NR0HV6-M00860) Mecha Gray,"16"" IPS WUXGA 165 Гц",Intel Core i7-13650HX,RAM 16 ГБ,SSD 1 ТБ,,,0,[]
Ноутбук Lenovo LOQ 15IRX9 (83DV00KERA) Luna Grey,"15.6"" IPS Full HD 144 Гц",Intel Core i7-13650HX,"nVidia GeForce RTX 4060, 8 ГБ",RAM 16 ГБ,,,0,[]
Ноутбук Acer Nitro 16 AN16-51-51ZH (NH.QJMEU.00L) Obsidian Black,"16"" IPS WUXGA 165 Гц",Intel Core i5-13420H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук HP Laptop 15s-fq5040ua (B22CGEA) Natural Silver,"15.6"" IPS Full HD",Intel Core i3-1215U,RAM 8 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук Acer Nitro V 15 ANV15-51-55UE (NH.QQEEU.001) Obsidian Black,"15.6"" IPS Full HD 144 Гц",Intel Core i5-13420H,RAM 16 ГБ,SSD 512 ГБ,,,0,[]
Ноутбук HP Laptop 15s-eq2056ua (4A7P1EA) Natural Silver,AMD Ryzen 3 5300U,RAM 16 ГБ,SSD 512 ГБ,Підсвітка клавіатури,,,0,[]
Ноутбук ASUS Vivobook 16X K3604VA-MB090 (90NB1071-M003L0) Indie Black,"16"" WUXGA",Intel Core i7-1355U,RAM 16 ГБ,SSD 1 ТБ,,,0,[]
