title,monitor,cpu,memory,drive,old_price,new_price,discount,images
Ноутбук Lenovo IdeaPad Slim 5 16IRL8 (82XF004MRA) Cloud Grey,"16"" IPS WUXGA",Intel Core i7-13620H,RAM 16 ГБ,SSD 512 ГБ,35999,27999,22.222839523320093,"['https://content2.rozetka.com.ua/goods/images/big_tile/334675373.jpg', 'https://content1.rozetka.com.ua/goods/images/big_tile/530534949.jpg']"
Ноутбук ASUS TUF Gaming F15 FX507ZC4-HN083 (90NR0GW1-M006E0) Mecha Gray,"15.6"" IPS Full HD 144 Гц",Intel Core i5-12500H,RAM 16 ГБ,SSD 512 ГБ,44999,35999,20.000444454321205,"['https://content1.rozetka.com.ua/goods/images/big_tile/350881987.jpg', 'https://content1.rozetka.com.ua/goods/images/big_tile/491435704.jpg']"
Ноутбук Acer Aspire 7 A715-76G-560W (NH.QMMEU.002) Charcoal Black,"15.6"" IPS Full HD",Intel Core i5-12450H,RAM 16 ГБ,SSD 512 ГБ,37999,29999,21.053185610147633,"['https://content2.rozetka.com.ua/goods/images/big_tile/362592851.jpg', 'https://content1.rozetka.com.ua/goods/images/big_tile/503528711.jpg']"
"Ноутбук Apple MacBook Air 13"" M1 8",256GB 2020 (MGN63) Space Gray,,,,43499,36999,14.942872249936782,"['https://content1.rozetka.com.ua/goods/images/big_tile/144249716.jpg', 'https://content1.rozetka.com.ua/goods/images/big_tile/144249735.jpg']"
Ноутбук HP Laptop 15s-fq5032ua (8F322EA) Spruce Blue,Intel Core i5-1235U,RAM 16 ГБ,SSD 512 ГБ,,27999,21999,21.429336762027216,"['https://content.rozetka.com.ua/goods/images/big_tile/363540817.jpg', 'https://content.rozetka.com.ua/goods/images/big_tile/363540818.jpg']"
Ноутбук Lenovo IdeaPad Slim 5 16IAH8 (83BG001ARA) Cloud Grey,"16"" IPS WUXGA",Intel Core i5-12450H,RAM 16 ГБ,SSD 512 ГБ,32999,25999,21.212764023152218,"['https://content.rozetka.com.ua/goods/images/big_tile/334492324.jpg', 'https://content1.rozetka.com.ua/goods/images/big_tile/491380047.jpg']"
Ноутбук Acer Aspire 5 A515-57-59VX (NX.KN4EU.00C) Steel Gray,Intel Core i5-12450H,RAM 16 ГБ,SSD 512 ГБ,Підсвітка клавіатури,29999,22999,23.3341111370379,"['https://content2.rozetka.com.ua/goods/images/big_tile/370191080.jpg', 'https://content.rozetka.com.ua/goods/images/big_tile/512064623.jpg']"
Ноутбук ASUS TUF Gaming A15 FA507NVR-LP086 (90NR0JK8-M00550) Jaeger Gray,"15.6"" IPS Full HD 144 Гц",AMD Ryzen 7 7435HS,RAM 16 ГБ,SSD 512 ГБ,59999,49999,16.66694444907415,"['https://content.rozetka.com.ua/goods/images/big_tile/474547330.jpg', 'https://content2.rozetka.com.ua/goods/images/big_tile/491435741.jpg']"
Ноутбук HP Laptop 15s-eq2056ua (4A7P1EA) Natural Silver,AMD Ryzen 3 5300U,RAM 16 ГБ,SSD 512 ГБ,Підсвітка клавіатури,22999,17499,23.914083221009612,"['https://content.rozetka.com.ua/goods/images/big_tile/207458919.jpg', 'https://content1.rozetka.com.ua/goods/images/big_tile/207458938.jpg']"
Ноутбук ASUS TUF Gaming F17 FX707ZC4-HX028 (90NR0GX2-M003V0) Jaeger Gray,"17.3"" IPS Full HD 144 Гц",Intel Core i5-12500H,RAM 16 ГБ,SSD 512 ГБ,47999,37999,20.833767370153545,"['https://content2.rozetka.com.ua/goods/images/big_tile/348810370.jpg', 'https://content2.rozetka.com.ua/goods/images/big_tile/489285567.jpg']"
Ноутбук Lenovo IdeaPad Slim 3 15AMN8 (82XQ00L1RA) Arctic Grey,"15.6"" IPS Full HD",AMD Ryzen 5 7520U,RAM 16 ГБ,SSD 512 ГБ,25499,20999,17.64775089219185,['https://xl-static.rozetka.com.ua/assets/img/design/stubs/goods-stub.svg']
